第1线通过，时间：2022-04-10 20：40：30;
第2线通过，时间：2022-04-10 20：40：34;
第3线通过，时间：2022-04-10 20：40：38;
第4线通过，时间：2022-04-10 20：40：42;
第5线通过，时间：2022-04-10 20：40：46;
第6线通过，时间：2022-04-10 20：40：50;
第7线通过，时间：2022-04-10 20：40：54;
第8线通过，时间：2022-04-10 20：40：58;
第9线通过，时间：2022-04-10 20：41：02;
第10线通过，时间：2022-04-10 20：41：06;
第11线通过，时间：2022-04-10 20：41：10;
第12线未通过，时间：2022-04-10 20：41：14;
第13线通过，时间：2022-04-10 20：41：18;
第14线通过，时间：2022-04-10 20：41：22;
第15线通过，时间：2022-04-10 20：41：30;
第16线通过，时间：2022-04-10 20：41：34;
第17线通过，时间：2022-04-10 20：41：38;
第18线通过，时间：2022-04-10 20：41：40;
第19线通过，时间：2022-04-10 20：41：42;
第20线通过，时间：2022-04-10 20：41：46;
第21线通过，时间：2022-04-10 20：41：50;
第22线通过，时间：2022-04-10 20：41：54;
第23线通过，时间：2022-04-10 20：41：58;
第24线通过，时间：2022-04-10 20：42：02;
第25线通过，时间：2022-04-10 20：42：06;
第26线通过，时间：2022-04-10 20：42：10;
第27线通过，时间：2022-04-10 20：42：14;
第28线通过，时间：2022-04-10 20：42：18;
第29线通过，时间：2022-04-10 20：42：22;
第30线通过，时间：2022-04-10 20：42：26;
第31线通过，时间：2022-04-10 20：42：30;
第32线未通过，时间：2022-04-10 20：42：34;
第33线通过，时间：2022-04-10 20：42：38;
第34线通过，时间：2022-04-10 20：42：41;
第35线通过，时间：2022-04-10 20：42：46;
第36线通过，时间：2022-04-10 20：42：50;
